Course,Prerequisite
acma01h3,At least 1.0 credit at the B-level in ONE of the following: City Studies or Human Geography or Economics for Management Studies or Management or Political Science or Sociology
acmb01h3, ENGB61H3
acmb02h3, BIOC33H3 or  BIOC34H3
acmb10h3,None
acmc01h3,[[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3] and enrolment in a Sociology program] or [any 4.0 credits and enrolment in the Minor Critical Migration Studies]
acmd01h3, CHMB16H3
acmd02h3,Any 8.0 credits including  GGRA30H3 and [ GGRB05H3 or  CITB02H3]
acmd91h3,None
acmd92h3, BIOC20H3
acmd93y3,1.0 credit at the C-level in ENG courses 
acmd99h3,Any 4.5 credits and an additional 1.5 credits in PHL courses
actb40h3, HLTB41H3 or [[ SOCB05H3 or  SOCB35H3] and [0.5credit from the following:  SOCB30H3   SOCB42H3  SOCB43H3  SOCB47H3]] 
afsa01h3,None
afsa03h3,[1.0 credit from:  IDSB01H3  IDSB04H3  POLB90H3  POLB91H3] and [2.0 credits at the C-level in any courses]
afsb01h3, EESB04H3
afsb05h3,None
afsb50h3,Any 8.0 credits
afsb51h3, VPSB58H3
afsb54h3, CSCA08H3
afsc30h3, MGHB12H3/( MGTC22H3) or  MGIB12H3
afsc52h3, CSCB36H3 and  CSCB63H3 and [CGPA of at least 3.0 or enrolment in a CSC Subject POSt or enrolment in a non-CSC Subject POSt for which this specific course is a program requirement]]
afsc53h3,None
afsc55h3, VPSB61H3
afsc70h3,[10.0 credits and  SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB44H3  SOCB47H3  SOCB58H3]] or [10.0 credits including  SOCB58H3 and enrolment in the Minor in Culture Creativity and Cities]
afsc97h3, PSCB57H3 and  PHYC50H3 and  MATC46H3
afsd07h3,None
afsd51h3, VPHA46H3 and  VPSB56H3 and [ VPSB58H3 or  VPSB67H3] and [1.0 additional credit at the B- or C-level in Studio courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
afsd52h3,None
anta01h3,Any 4 credits
anta02h3,None
antb01h3, VPSB56H3
antb05h3, VPAA10H3 and  VPAA12H3
antb09h3, POLB80H3 &  POLB81H3
antb14h3,One full credit in Political Science at the B-level
antb15h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and an additional 0.5 credit at the B-level in Psychology
antb16h3, VPMA93H3
antb18h3,3.0 full credits in Psychology and permission of the proposed supervisor.  Note:  Normally students need a cumulative GPA of at least 2.7 for permission to be granted.)
antb19h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
antb20h3, ANTB19H3 and  ANTB20H3
antb22h3,Any 4.0 credits
antb35h3,None
antb36h3, MGAB03H3/( MGTB03H3)
antb64h3,None
antb65h3, PSYB20H3 and one additional B-level half-credit in PSY
antb66h3,None
antc03h3,[10.0 credits and  SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3 ( SOCC39H3)]] or [ SOCB60H3 and enrolment in the Minor in Critical Migration Studies]
antc04h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
antc07h3,12.0 credits including:  JOUA06H3  JOUB11H3  JOUB14H3  JOUB18H3 and  JOUB19H3; students must have a minimum CGPA of 2.0
antc09h3, MATB41H3 and  STAB52H3
antc10h3, BIOC33H3 or  BIOC34H3
antc14h3,Any 6.0 credits 
antc15h3,None
antc16h3, MGFB10H3/( MGTB09H3) or ( MGTC03H3)
antc17h3, PMDB30H3 and  PMDB32Y3 and  PMDB36H3 and  BIOB11H3
antc18h3, IDSA01H3 or  EESA01H3
antc19h3, PSYA01H3 and  PSYA02H3
antc20h3, ANTC47H3 and  ANTC48H3
antc24h3, RLGA01H3 or ( HUMB04H3)
antc25h3,10.0 credits and  SOCB05H3 and [1.0 credit from the following:   SOCB30H3  SOCB42H3  SOCB43H3  SOCB44H3  SOCB47H3  SOCB58H3]
antc27h3,[4.0 credits including  VPAA10H3] or [ SOCB58H3 and an additional 4.0 credits]
